"","period","age_grp","race","gender","count","pop","main.vs.sa"
"1",10,5,"Black","Male",21,733126,"main"
"2",10,5,"White","Male",128,3803981,"main"
"3",10,6,"Black","Male",41,659150,"main"
"4",10,6,"White","Male",230,3813100,"main"
"5",10,7,"Black","Male",73,616647,"main"
"6",10,7,"White","Male",365,3524237,"main"
"7",10,8,"Black","Male",135,623879,"main"
"8",10,8,"White","Male",678,3552511,"main"
"9",10,9,"Black","Male",246,608725,"main"
"10",10,9,"White","Male",1293,3695639,"main"
"11",3,5,"Black","Male",5,465820,"main"
"12",3,5,"White","Male",64,3991718,"main"
"13",3,6,"Black","Male",20,385993,"main"
"14",3,6,"White","Male",101,3586574,"main"
"15",3,7,"Black","Male",21,282438,"main"
"16",3,7,"White","Male",187,2809460,"main"
"17",3,8,"Black","Male",43,233231,"main"
"18",3,8,"White","Male",328,2316116,"main"
"19",3,9,"Black","Male",69,212504,"main"
"20",3,9,"White","Male",655,2234903,"main"
"21",4,5,"Black","Male",13,547207,"main"
"22",4,5,"White","Male",47,4320955,"main"
"23",4,6,"Black","Male",20,482264,"main"
"24",4,6,"White","Male",122,3981780,"main"
"25",4,7,"Black","Male",29,368582,"main"
"26",4,7,"White","Male",208,3463416,"main"
"27",4,8,"Black","Male",52,285938,"main"
"28",4,8,"White","Male",357,2716297,"main"
"29",4,9,"Black","Male",85,231215,"main"
"30",4,9,"White","Male",637,2242121,"main"
"31",5,5,"Black","Male",10,580260,"main"
"32",5,5,"White","Male",51,4208280,"main"
"33",5,6,"Black","Male",14,559573,"main"
"34",5,6,"White","Male",129,4326622,"main"
"35",5,7,"Black","Male",56,479137,"main"
"36",5,7,"White","Male",224,3929520,"main"
"37",5,8,"Black","Male",76,384097,"main"
"38",5,8,"White","Male",369,3467369,"main"
"39",5,9,"Black","Male",124,280458,"main"
"40",5,9,"White","Male",695,2672616,"main"
"41",6,5,"Black","Male",12,588116,"main"
"42",6,5,"White","Male",57,3836366,"main"
"43",6,6,"Black","Male",21,616552,"main"
"44",6,6,"White","Male",153,4405581,"main"
"45",6,7,"Black","Male",53,579499,"main"
"46",6,7,"White","Male",264,4367387,"main"
"47",6,8,"Black","Male",94,484972,"main"
"48",6,8,"White","Male",517,3932392,"main"
"49",6,9,"Black","Male",135,371292,"main"
"50",6,9,"White","Male",827,3373599,"main"
"51",7,5,"Black","Male",12,613912,"main"
"52",7,5,"White","Male",51,3673806,"main"
"53",7,6,"Black","Male",20,638986,"main"
"54",7,6,"White","Male",151,4019491,"main"
"55",7,7,"Black","Male",55,631189,"main"
"56",7,7,"White","Male",325,4337927,"main"
"57",7,8,"Black","Male",105,575669,"main"
"58",7,8,"White","Male",581,4249448,"main"
"59",7,9,"Black","Male",181,475563,"main"
"60",7,9,"White","Male",1044,3798251,"main"
"61",8,5,"Black","Male",14,585167,"main"
"62",8,5,"White","Male",92,3471196,"main"
"63",8,6,"Black","Male",28,622353,"main"
"64",8,6,"White","Male",171,3693333,"main"
"65",8,7,"Black","Male",65,626541,"main"
"66",8,7,"White","Male",320,3868146,"main"
"67",8,8,"Black","Male",139,617613,"main"
"68",8,8,"White","Male",649,4167203,"main"
"69",8,9,"Black","Male",196,559111,"main"
"70",8,9,"White","Male",1195,4082600,"main"
"71",9,5,"Black","Male",15,636500,"main"
"72",9,5,"White","Male",76,3745633,"main"
"73",9,6,"Black","Male",22,600830,"main"
"74",9,6,"White","Male",180,3545090,"main"
"75",9,7,"Black","Male",67,629135,"main"
"76",9,7,"White","Male",334,3601554,"main"
"77",9,8,"Black","Male",118,623504,"main"
"78",9,8,"White","Male",632,3779815,"main"
"79",9,9,"Black","Male",229,606068,"main"
"80",9,9,"White","Male",1282,4040128,"main"
"81",10,5,"Black","Female",21,783663,"main"
"82",10,5,"White","Female",134,3574555,"main"
"83",10,6,"Black","Female",45,746896,"main"
"84",10,6,"White","Female",218,3634483,"main"
"85",10,7,"Black","Female",65,716530,"main"
"86",10,7,"White","Female",346,3381624,"main"
"87",10,8,"Black","Female",142,727535,"main"
"88",10,8,"White","Female",611,3430367,"main"
"89",10,9,"Black","Female",255,695593,"main"
"90",10,9,"White","Female",1058,3613404,"main"
"91",3,5,"Black","Female",14,536793,"main"
"92",3,5,"White","Female",51,3910384,"main"
"93",3,6,"Black","Female",20,444284,"main"
"94",3,6,"White","Female",116,3573528,"main"
"95",3,7,"Black","Female",24,323594,"main"
"96",3,7,"White","Female",180,2796827,"main"
"97",3,8,"Black","Female",40,268003,"main"
"98",3,8,"White","Female",303,2342491,"main"
"99",3,9,"Black","Female",97,246720,"main"
"100",3,9,"White","Female",671,2284755,"main"
"101",4,5,"Black","Female",13,620457,"main"
"102",4,5,"White","Female",37,4193412,"main"
"103",4,6,"Black","Female",19,554562,"main"
"104",4,6,"White","Female",103,3939134,"main"
"105",4,7,"Black","Female",46,426733,"main"
"106",4,7,"White","Female",189,3439323,"main"
"107",4,8,"Black","Female",63,330243,"main"
"108",4,8,"White","Female",338,2746230,"main"
"109",4,9,"Black","Female",72,266975,"main"
"110",4,9,"White","Female",587,2270513,"main"
"111",5,5,"Black","Female",9,651484,"main"
"112",5,5,"White","Female",41,4074720,"main"
"113",5,6,"Black","Female",26,639696,"main"
"114",5,6,"White","Female",107,4250843,"main"
"115",5,7,"Black","Female",58,558453,"main"
"116",5,7,"White","Female",208,3885534,"main"
"117",5,8,"Black","Female",81,445079,"main"
"118",5,8,"White","Female",406,3482257,"main"
"119",5,9,"Black","Female",87,319991,"main"
"120",5,9,"White","Female",583,2679713,"main"
"121",6,5,"Black","Female",13,663619,"main"
"122",6,5,"White","Female",52,3669248,"main"
"123",6,6,"Black","Female",40,698798,"main"
"124",6,6,"White","Female",108,4244880,"main"
"125",6,7,"Black","Female",59,660806,"main"
"126",6,7,"White","Female",228,4273271,"main"
"127",6,8,"Black","Female",86,561927,"main"
"128",6,8,"White","Female",436,3917017,"main"
"129",6,9,"Black","Female",137,428954,"main"
"130",6,9,"White","Female",668,3372274,"main"
"131",7,5,"Black","Female",16,696054,"main"
"132",7,5,"White","Female",63,3462522,"main"
"133",7,6,"Black","Female",27,715297,"main"
"134",7,6,"White","Female",142,3807415,"main"
"135",7,7,"Black","Female",62,714588,"main"
"136",7,7,"White","Female",255,4204923,"main"
"137",7,8,"Black","Female",107,655712,"main"
"138",7,8,"White","Female",483,4198563,"main"
"139",7,9,"Black","Female",199,555020,"main"
"140",7,9,"White","Female",867,3801221,"main"
"141",8,5,"Black","Female",7,674226,"main"
"142",8,5,"White","Female",71,3298976,"main"
"143",8,6,"Black","Female",41,721518,"main"
"144",8,6,"White","Female",131,3487662,"main"
"145",8,7,"Black","Female",61,713137,"main"
"146",8,7,"White","Female",251,3713497,"main"
"147",8,8,"Black","Female",124,702643,"main"
"148",8,8,"White","Female",568,4092336,"main"
"149",8,9,"Black","Female",221,638805,"main"
"150",8,9,"White","Female",995,4072780,"main"
"151",9,5,"Black","Female",13,717507,"main"
"152",9,5,"White","Female",91,3558707,"main"
"153",9,6,"Black","Female",27,701657,"main"
"154",9,6,"White","Female",163,3375066,"main"
"155",9,7,"Black","Female",56,731960,"main"
"156",9,7,"White","Female",292,3462295,"main"
"157",9,8,"Black","Female",139,708331,"main"
"158",9,8,"White","Female",590,3669451,"main"
"159",9,9,"Black","Female",273,689975,"main"
"160",9,9,"White","Female",1002,4008016,"main"
"161",3,5,"Black","Female",14,536793,"sa"
"162",3,6,"Black","Female",20,444284,"sa"
"163",3,7,"Black","Female",24,323594,"sa"
"164",3,8,"Black","Female",40,268003,"sa"
"165",3,9,"Black","Female",97,246720,"sa"
"166",4,5,"Black","Female",13,620457,"sa"
"167",4,6,"Black","Female",19,554562,"sa"
"168",4,7,"Black","Female",46,426733,"sa"
"169",4,8,"Black","Female",63,330243,"sa"
"170",4,9,"Black","Female",72,266975,"sa"
"171",5,5,"Black","Female",9,651484,"sa"
"172",5,6,"Black","Female",26,639696,"sa"
"173",5,7,"Black","Female",58,558453,"sa"
"174",5,8,"Black","Female",81,445079,"sa"
"175",5,9,"Black","Female",87,319991,"sa"
"176",6,5,"Black","Female",19,930750,"sa"
"177",6,6,"Black","Female",52,993315,"sa"
"178",6,7,"Black","Female",76,923084,"sa"
"179",6,8,"Black","Female",123,782470,"sa"
"180",6,9,"Black","Female",201,604162,"sa"
"181",7,5,"Black","Female",27,1297899,"sa"
"182",7,6,"Black","Female",52,1372371,"sa"
"183",7,7,"Black","Female",134,1419426,"sa"
"184",7,8,"Black","Female",221,1320751,"sa"
"185",7,9,"Black","Female",390,1117068,"sa"
"186",8,5,"Black","Female",23,1872662,"sa"
"187",8,6,"Black","Female",106,1933835,"sa"
"188",8,7,"Black","Female",174,2001872,"sa"
"189",8,8,"Black","Female",368,2057662,"sa"
"190",8,9,"Black","Female",670,1880536,"sa"
"191",9,5,"Black","Female",47,2025128,"sa"
"192",9,6,"Black","Female",86,1915564,"sa"
"193",9,7,"Black","Female",190,1951164,"sa"
"194",9,8,"Black","Female",421,1993617,"sa"
"195",9,9,"Black","Female",748,2023270,"sa"
"196",10,5,"Black","Female",57,2193107,"sa"
"197",10,6,"Black","Female",143,2058871,"sa"
"198",10,7,"Black","Female",212,1942654,"sa"
"199",10,8,"Black","Female",385,1945057,"sa"
"200",10,9,"Black","Female",725,1964339,"sa"
"201",3,5,"White","Female",51,3910384,"sa"
"202",3,6,"White","Female",116,3573528,"sa"
"203",3,7,"White","Female",180,2796827,"sa"
"204",3,8,"White","Female",303,2342491,"sa"
"205",3,9,"White","Female",671,2284755,"sa"
"206",4,5,"White","Female",37,4193412,"sa"
"207",4,6,"White","Female",103,3939134,"sa"
"208",4,7,"White","Female",189,3439323,"sa"
"209",4,8,"White","Female",338,2746230,"sa"
"210",4,9,"White","Female",587,2270513,"sa"
"211",5,5,"White","Female",41,4074720,"sa"
"212",5,6,"White","Female",107,4250843,"sa"
"213",5,7,"White","Female",208,3885534,"sa"
"214",5,8,"White","Female",406,3482257,"sa"
"215",5,9,"White","Female",584,2679713,"sa"
"216",6,5,"White","Female",75,5539448,"sa"
"217",6,6,"White","Female",150,6217468,"sa"
"218",6,7,"White","Female",320,6032070,"sa"
"219",6,8,"White","Female",582,5415332,"sa"
"220",6,9,"White","Female",901,4653296,"sa"
"221",7,5,"White","Female",130,7245008,"sa"
"222",7,6,"White","Female",280,7929639,"sa"
"223",7,7,"White","Female",534,8549414,"sa"
"224",7,8,"White","Female",1040,8422123,"sa"
"225",7,9,"White","Female",1808,7563454,"sa"
"226",8,5,"White","Female",192,10130987,"sa"
"227",8,6,"White","Female",449,10664604,"sa"
"228",8,7,"White","Female",815,11398029,"sa"
"229",8,8,"White","Female",1743,12274446,"sa"
"230",8,9,"White","Female",2981,11922807,"sa"
"231",9,5,"White","Female",242,10770292,"sa"
"232",9,6,"White","Female",452,10176922,"sa"
"233",9,7,"White","Female",942,10623525,"sa"
"234",9,8,"White","Female",1791,11189899,"sa"
"235",9,9,"White","Female",3194,11981827,"sa"
"236",10,5,"White","Female",354,10960933,"sa"
"237",10,6,"White","Female",670,10817416,"sa"
"238",10,7,"White","Female",1054,10192122,"sa"
"239",10,8,"White","Female",1888,10490957,"sa"
"240",10,9,"White","Female",3258,10983446,"sa"
"241",3,5,"Black","Male",5,465820,"sa"
"242",3,6,"Black","Male",20,385993,"sa"
"243",3,7,"Black","Male",21,282438,"sa"
"244",3,8,"Black","Male",43,233231,"sa"
"245",3,9,"Black","Male",69,212504,"sa"
"246",4,5,"Black","Male",13,547207,"sa"
"247",4,6,"Black","Male",20,482264,"sa"
"248",4,7,"Black","Male",29,368582,"sa"
"249",4,8,"Black","Male",52,285938,"sa"
"250",4,9,"Black","Male",85,231215,"sa"
"251",5,5,"Black","Male",10,580260,"sa"
"252",5,6,"Black","Male",14,559573,"sa"
"253",5,7,"Black","Male",56,479137,"sa"
"254",5,8,"Black","Male",76,384097,"sa"
"255",5,9,"Black","Male",124,280458,"sa"
"256",6,5,"Black","Male",15,829314,"sa"
"257",6,6,"Black","Male",34,883846,"sa"
"258",6,7,"Black","Male",66,814782,"sa"
"259",6,8,"Black","Male",138,676863,"sa"
"260",6,9,"Black","Male",190,518510,"sa"
"261",7,5,"Black","Male",22,1167963,"sa"
"262",7,6,"Black","Male",42,1239659,"sa"
"263",7,7,"Black","Male",112,1269134,"sa"
"264",7,8,"Black","Male",242,1177343,"sa"
"265",7,9,"Black","Male",403,968343,"sa"
"266",8,5,"Black","Male",30,1696984,"sa"
"267",8,6,"Black","Male",80,1739205,"sa"
"268",8,7,"Black","Male",181,1800174,"sa"
"269",8,8,"Black","Male",412,1848435,"sa"
"270",8,9,"Black","Male",615,1679840,"sa"
"271",9,5,"Black","Male",36,1885457,"sa"
"272",9,6,"Black","Male",60,1733103,"sa"
"273",9,7,"Black","Male",165,1743739,"sa"
"274",9,8,"Black","Male",368,1797741,"sa"
"275",9,9,"Black","Male",779,1822984,"sa"
"276",10,5,"Black","Male",49,2145252,"sa"
"277",10,6,"Black","Male",108,1918111,"sa"
"278",10,7,"Black","Male",182,1744678,"sa"
"279",10,8,"Black","Male",359,1734265,"sa"
"280",10,9,"Black","Male",735,1757313,"sa"
"281",3,5,"White","Male",64,3991718,"sa"
"282",3,6,"White","Male",101,3586574,"sa"
"283",3,7,"White","Male",187,2809460,"sa"
"284",3,8,"White","Male",328,2316116,"sa"
"285",3,9,"White","Male",655,2234903,"sa"
"286",4,5,"White","Male",47,4320955,"sa"
"287",4,6,"White","Male",122,3981780,"sa"
"288",4,7,"White","Male",208,3463416,"sa"
"289",4,8,"White","Male",357,2716297,"sa"
"290",4,9,"White","Male",637,2242121,"sa"
"291",5,5,"White","Male",51,4208280,"sa"
"292",5,6,"White","Male",129,4326622,"sa"
"293",5,7,"White","Male",224,3929520,"sa"
"294",5,8,"White","Male",368,3467369,"sa"
"295",5,9,"White","Male",695,2672616,"sa"
"296",6,5,"White","Male",86,5987562,"sa"
"297",6,6,"White","Male",213,6601138,"sa"
"298",6,7,"White","Male",367,6262064,"sa"
"299",6,8,"White","Male",680,5476652,"sa"
"300",6,9,"White","Male",1085,4657006,"sa"
"301",7,5,"White","Male",131,7781144,"sa"
"302",7,6,"White","Male",324,8434180,"sa"
"303",7,7,"White","Male",660,8884140,"sa"
"304",7,8,"White","Male",1177,8571203,"sa"
"305",7,9,"White","Male",2118,7544784,"sa"
"306",8,5,"White","Male",233,10755334,"sa"
"307",8,6,"White","Male",488,11229358,"sa"
"308",8,7,"White","Male",1041,11824113,"sa"
"309",8,8,"White","Male",1888,12497701,"sa"
"310",8,9,"White","Male",3615,11944959,"sa"
"311",9,5,"White","Male",266,11433171,"sa"
"312",9,6,"White","Male",535,10687160,"sa"
"313",9,7,"White","Male",978,10965068,"sa"
"314",9,8,"White","Male",2006,11465355,"sa"
"315",9,9,"White","Male",3903,12060595,"sa"
"316",10,5,"White","Male",375,11743005,"sa"
"317",10,6,"White","Male",668,11384864,"sa"
"318",10,7,"White","Male",1119,10566757,"sa"
"319",10,8,"White","Male",2100,10737356,"sa"
"320",10,9,"White","Male",3820,11150907,"sa"
"321",3,10,"Black","Female",164,241910,"main"
"322",3,11,"Black","Female",214,221664,"main"
"323",3,12,"Black","Female",244,184050,"main"
"324",3,13,"Black","Female",269,154746,"main"
"325",3,14,"Black","Female",264,107088,"main"
"326",4,10,"Black","Female",139,238812,"main"
